fafdc4d3b0ae406701e6887a3ab687c5cc08206b,Michael Herrmann,2020-05-04,Improve test file for PointTest
362b20813a5f4a77b7c31e5f53986f6e758f87d6,Michael Herrmann,2020-05-04,Merge pull request #22 from ftnext/i19-add-firefox-options
82c628e7aeaf81480037511795ec917141dffd2a,ftnext,2020-05-04,Add `options` parameter to start_firefox(...)
553bdf2beb2da86d09bf315dc512030159bf7fad,Michael Herrmann,2020-04-08,Update README.md
5fcc72261197c16af56fd37cb49f6199bda43a90,Michael Herrmann,2020-04-02,Update README.md
848e2038db2fa9ed4f0872db724cbdd3912f938b,Michael Herrmann,2020-03-25,Add Twitter Share link
65b2ee88f76650f0aad2c997765b87f8f72c5c81,Michael Herrmann,2020-03-23,Update README.md
e94506dd0e6107cd3a007a457875113718c97874,Michael Herrmann,2020-03-19,Set version number for release 3.0.2
3e2f9f2ee8e2d38d1937c9b38be65ee50bd0e81e,Michael Herrmann,2020-03-19,Add `options` parameter to start_chrome(...)
7b25791ccef7a7f3d19f3a69a720ad61e27d2c39,Michael Herrmann,2020-03-17,Bump psutil to version 5.6.6
65cfa14b69b590a2a2519378eefcabd97a08842e,Michael Herrmann,2020-03-16,Update Cheatsheet
17e52c557cd7b5826ccc8dd78cd1119cdd06be5d,Michael Herrmann,2020-03-16,Update README for SEO
0166a02fbeb3e8b9deafa3b859f4894d821d7358,Michael Herrmann,2020-03-16,Update README for SEO
fd18e0c34ee7f69ab8a36f098e6769eb0ae33caa,Michael Herrmann,2020-03-16,Update README for SEO
ad46fca98ceeb7f959b6cae345ec24f3f81db242,Michael Herrmann,2020-02-27,Bump version number for release 3.0.1
bc24b547cc8da4512b28da056f27c36fca5f91a0,Michael Herrmann,2020-02-27,Merge pull request #2 from tbp105/master
893c7a4ac00ca2a62478b8f22cdca1f5ce56f150,Tim Powell,2020-02-27,message now contains stringified element, change the expression to not include it
145ed4a025ec7b0f0dededd7024e3e01aac6d91d,Michael Herrmann,2020-02-27,Update README.md
adc23e11b83a5d4dca765643ccd27fa3e29f69f6,Michael Herrmann,2020-02-27,Update README.md
b746607b4b6fa4a16096b735ec89afb07d8cdc38,Michael Herrmann,2020-02-27,Improve README for newsletter
7886308d9455e62623f9a95011bcc6ae5e14c3d3,Michael Herrmann,2020-02-27,Update README.md
4391ce2d1a31f20a8479ecc0088ab89ec67dcedd,Michael Herrmann,2020-02-27,Update README.md
f4aaba25e0ffbb7210b37b19aeefa7658e02b0ea,Michael Herrmann,2020-02-27,Update README.md
f5c29c9d0b378418bcb11b2f75a65197c7a07dab,Michael Herrmann,2020-02-27,Update Cheatsheet.md
5e81067fd1fb7a62b9c22b6b8702691ca2df53bb,Michael Herrmann,2020-02-27,Update Cheatsheet.md
41f46f76238fe641b04d4fa8cf6e919c3d0015b8,Michael Herrmann,2020-02-27,Update README.md
e493b9de462400d94909a80d15cc2b50d8b60ad8,Michael Herrmann,2020-02-27,Update README.md
25570bade78008bc2e843fdbeefe096a4bf7bab2,Michael Herrmann,2020-02-27,Update README.md
7b5f55b8e303bd2f423ed4f2cd64f723c44d736f,Michael Herrmann,2020-02-27,Update README.md
00c977497a918ea9da8669e6a9aee53b5ab78b4e,Michael Herrmann,2020-02-27,Update README.md
0ffd31ea80a811bedea4ac0343094487312e60b1,Michael Herrmann,2020-02-27,Update README.md
3ba3f579358aa5412acd6789a88132c6e695532b,Michael Herrmann,2020-02-27,Update README.md
229ccb8fc2190b5defa5961c100ce6847c62d21f,Michael Herrmann,2020-02-27,Update README.md
333a1d659b4ee8bfd94cf41f925063a8b89fa12b,Michael Herrmann,2020-02-26,Update Cheatsheet.md
494057f8cc96a82d173d3a6b7e52d6e5d66992e5,Michael Herrmann,2020-02-26,Update Cheatsheet.md
760722d78a5edebb967378e5eb70e23f5251d429,Michael Herrmann,2020-02-26,Update README.md
05ac0b2d5840a6cef3be0a4007c643b228a97c96,Michael Herrmann,2020-02-26,Update README.md
09453d195ab6353af459093dafaefc5232435e67,Michael Herrmann,2020-02-26,Add Cheatsheet
0667ddb9be531367a0d707ad8f5fcfb75c528521,Michael Herrmann,2020-02-26,Update README.md
21b14d7d3cf4a6a85470d1ff6fd9b2e24cdff553,Michael Herrmann,2020-02-26,Update README.md
1d606ddd806581bafc02d5a6119c4324d510f97f,Michael Herrmann,2020-02-26,Update README.md
de212e4b9b3c42148d5450fea615b6d50748c294,Michael Herrmann,2020-02-26,Update README.md
25fdd9ae968bdfc1d3fd65d593070473c2c2ccd6,Michael Herrmann,2020-02-26,Update README.md
d6dd82987190dd59dbc59aaeadf7acd457665514,Michael Herrmann,2020-02-26,Update README.md
8e475c438b3cddd74193f11049a2bdcfb44b0478,Michael Herrmann,2020-02-26,Update README.md
10e6af5253d692c0d627c708b6bc261bb5a27866,Michael Herrmann,2020-02-26,Update README.md
9d72ae6c672a12bfd95ea9ba9ceb141a689f1757,Michael Herrmann,2020-02-26,Update README.md
e3a90c3a9487a28d114d326c8df054dcd3fa6314,Michael Herrmann,2020-02-26,Update README.md
df2d187cc0a634d962ff3d69682601e6271e0640,Michael Herrmann,2020-02-26,Update README.md
f0c85a4f5cfd5c3660c14dcf6762e8ad3db97840,Michael Herrmann,2020-02-26,Update README for SEO
8525c3b0bf4032f3d085d5c75dc4fb257cf7cc0d,Michael Herrmann,2020-02-26,Update README.md
f9b2b562f1d35872167338079ad1010cee637153,Michael Herrmann,2020-02-25,Update README
c8c31309014e9b89bfeb064cff010be3043ca0ad,Michael Herrmann,2020-02-25,Add demo.gif
bae769445cfa9db87fdb9bd657fdaaa0a1148ea4,Michael Herrmann,2020-02-25,Update README
e3cf7d7dbb4a90780dc1f8eb586a2f4f0c48ae37,Michael Herrmann,2020-02-25,Update README
67fc9a2d0bb9edb79a950cfd042878db292461c6,Michael Herrmann,2020-02-25,Update README
c78e9a6901f88bd72d3da602c2a8b5a6ec78daae,Michael Herrmann,2020-02-25,Add README
1f0e0151dfe1b05e2305974b0850a5ddaea8e71d,Michael Herrmann,2020-02-25,Remove obsolete ApplicationContext
bf07000e7bb132a47376f2a7447b8932af6c8a0c,Michael Herrmann,2020-02-25,Remove helium._impl.environment
aad1e1f8413dcc664da787b7a98b916b370eea47,Michael Herrmann,2020-02-25,Move webdrivers into helium._impl
e12402e772a35d99f1d10b3a6b399280b4033cb6,Michael Herrmann,2020-02-25,Add files forgotten in previous commit
4279e01d96889c000fa4f2ab9d875fb736907b34,Michael Herrmann,2020-02-25,Move non-public members into helium._impl
85d66184e104ca598b9351243e2253eb06a57e34,Michael Herrmann,2020-02-25,Rename package helium.api_impl to helium._impl
dc1ea33fd7c8f22ab011052be29f49d1f1aebc0b,Michael Herrmann,2020-02-25,Remove unused functions
463707533c56dec64f87019de358639c250c3bb3,Michael Herrmann,2020-02-25,Rename "data" directory to "webdrivers"
868eae6e47090740274bf1293da01eda776b20bb,Michael Herrmann,2020-02-25,Rename "win" to "windows"
069a6ff5962c10522564acf618257ecaa71ef29e,Michael Herrmann,2020-02-25,Rename "macosx" to "mac"
899614db58c4913e70445871a529415cceebcdcb,Michael Herrmann,2020-02-25,Rename function is_osx() to is_mac()
db0b548dd1e3ae4efe3651dc5279705ebee40969,Michael Herrmann,2020-02-25,Remove empty line
0b3cd72d4d8f9c0de112718a1cf75c5ca463a652,Michael Herrmann,2020-02-25,Remove obsolete import
9a4160dc7bafc61429bce6643881688e2ddfae92,Michael Herrmann,2020-02-25,Move API functions from `helium.api` into `helium`
012df24194738cd145d8d47d3e98e96054710e41,Michael Herrmann,2020-02-25,Fix typo
862da7580b41c2f0b9a852fd36195fb2d1cef128,Michael Herrmann,2020-02-25,Delete Helium's Java and IE implementations
0c5bea6d8b29ec8b424b34ca14c5801591daadc9,Michael Herrmann,2019-12-11,Remove unused code
d0a020fb9db5e0512b32f56e9079f782538f11f1,Michael Herrmann,2019-12-11,Remove unused code
ebb1a6512469b32fe741156fe27d226af6333565,Michael Herrmann,2019-12-11,Substantially modernize Helium
51bfeeb27452a1779d39d55d1ffae84815c71b63,Michael Herrmann,2019-12-11,Change to MIT license
a7d55bdc81737c9fa8ce33ecf00319a76fdbc6c1,Michael Herrmann,2019-11-26,Open source Helium's (originally proprietary) code
